T:1.1.5.;T:1.2.9.;T:1.2.10.;VPL:1.2.11.;VPL:1.2.12.;VPL:1.2.13.;T:1.3.11.;T:1.3.12.;VPL:1.3.13.;VPL:1.3.14.;VPL:1.3.15.;VPL:1.3.16.;T:1.4.11.;T:1.4.12.;VPL:1.4.13.;VPL:1.4.14.;VPL:1.4.15.;sumball;label
1.0;1.33;5.0;0.0;0.0;0.0;1.0;4.5;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;9.5;0
0.76;0.83;5.0;0.0;0.0;0.0;2.0;4.5;0.0;0.0;0.0;0.0;1.13;0.25;0.0;0.0;0.0;11.5;0
2.63;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;4.5;2.33;3.0;3.0;0.0;65.0;1
2.18;2.5;5.0;5.0;5.0;5.0;4.0;4.0;5.0;2.0;3.0;3.0;3.75;2.54;3.0;3.0;3.0;81.25;1
0.0;0.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;0
2.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0
2.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0.0;4.5;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0
1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1.88;4.5;5.0;5.0;5.0;5.0;4.5;5.0;5.0;2.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;41.0;0
2.48;4.5;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0
2.53;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;5.0;3.38;3.0;3.0;3.0;91.38;1
2.75;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;0.0;0.0;5.0;2.8;0.0;0.0;0.0;47.0;0
2.45;5.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0
2.2;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;4.5;3.08;3.0;3.0;3.0;84.88;1
2.53;4.5;5.0;5.0;5.0;5.0;5.0;4.5;5.0;2.0;3.0;3.0;4.0;3.33;3.0;3.0;3.0;63.33;1
2.38;4.5;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;0.0;4.38;2.55;3.0;0.0;0.0;55.38;1
2.78;5.0;5.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;0.0;3.58;3.5;0.0;0.0;0.0;27.08;0
2.51;4.0;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.5;0
1.7;0.0;5.0;5.0;5.0;5.0;5.0;4.5;0.0;0.0;0.0;0.0;3.75;3.03;3.0;3.0;0.0;42.28;0
2.38;4.33;5.0;0.0;0.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;0.5;1.25;0.0;0.0;0.0;19.33;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2.33;5.0;5.0;5.0;5.0;5.0;5.0;0.0;5.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;0
1.88;4.0;2.5;0.0;0.0;0.0;4.0;5.0;0.0;0.0;0.0;0.0;2.75;0.83;0.0;0.0;0.0;13.0;0
2.85;4.5;5.0;5.0;5.0;5.0;4.5;5.0;5.0;2.0;0.0;0.0;5.0;2.33;3.0;3.0;0.0;76.0;1
2.65;5.0;5.0;5.0;5.0;5.0;3.0;4.5;5.0;2.0;3.0;3.0;4.88;2.75;3.0;0.0;0.0;56.38;1
1.83;3.5;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.5;0
2.18;3.5;5.0;0.0;0.0;0.0;4.0;4.5;0.0;0.0;0.0;0.0;3.38;1.71;0.0;0.0;0.0;20.38;0
3.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;5.0;3.5;3.0;3.0;3.0;95.17999999999999;1
1.1;0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;2.0;0
2.9;5.0;5.0;5.0;5.0;5.0;4.5;5.0;5.0;2.0;0.0;0.0;4.5;3.5;0.0;0.0;0.0;49.5;0
2.02;5.0;5.0;5.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0
2.39;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;4.75;2.88;3.0;3.0;3.0;82.7;1
2.08;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;5.0;3.5;3.0;3.0;3.0;95.6;1
2.45;5.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0
2.34;5.0;4.5;5.0;5.0;5.0;3.5;4.5;5.0;2.0;3.0;3.0;2.5;2.5;3.0;0.0;0.0;78.0;1
1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2.9;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;5.0;3.5;3.0;3.0;3.0;90.77;1
1.29;0.83;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;1.13;0.75;0.0;0.0;0.0;2.0;0
2.35;3.83;3.5;5.0;5.0;5.0;0.0;0.0;5.0;1.0;3.0;3.0;0.0;0.0;3.0;3.0;3.0;42.33;0
0.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.38;0.0;0.0;0.0;0.0;9.0;0
2.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2.48;3.65;3.0;5.0;5.0;5.0;2.5;5.0;5.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;36.65;0
2.38;3.5;5.0;3.0;5.0;5.0;4.0;5.0;5.0;2.0;3.0;3.0;3.88;3.38;3.0;2.0;3.0;70.26;1
2.8;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;0.0;0.0;4.88;3.08;0.0;0.0;0.0;49.96;0
2.39;3.5;5.0;5.0;4.0;4.0;4.5;4.0;5.0;2.0;3.0;3.0;3.0;2.17;3.0;2.0;3.0;78.33;1
2.45;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;5.0;3.0;3.0;3.0;3.0;92.0;1
2.3;4.5;4.5;5.0;5.0;5.0;4.0;4.5;5.0;2.0;3.0;3.0;1.63;0.0;3.0;0.0;0.0;48.5;0
2.93;5.0;5.0;5.0;4.0;5.0;4.5;4.5;5.0;2.0;0.0;0.0;0.5;3.5;0.0;0.0;0.0;43.5;0
3.0;5.0;5.0;5.0;5.0;5.0;4.5;5.0;5.0;0.0;3.0;3.0;4.0;3.33;3.0;3.0;3.0;91.28;1
